id,label,importance,triviality,loc,complexity,num_funcs,num_params,num_calls,num_returns,num_assigns,num_imports,doc_len,keyword_matches,one_liner,has_type_annotations,dist_med,human_label
code:fastapi/routing.py:APIRouter:670,APIRouter,0.739,0.261,3374,39.0,22,1,311,17,32,0,527,277,0,1,,utility
code:fastapi/applications.py:FastAPI:50,FastAPI,0.677,0.323,3972,23.0,26,1,332,24,39,0,468,331,0,1,,utility
code:fastapi/routing.py:get_request_handler:292,get_request_handler,0.4962,0.5038,136,23.0,1,13,29,1,29,0,0,30,0,1,,utility
code:fastapi/openapi/utils.py:get_openapi_path:252,get_openapi_path,0.4949,0.5051,189,33.0,1,0,57,0,39,0,0,49,0,1,,utility
code:fastapi/openapi/utils.py:get_openapi:475,get_openapi,0.4635,0.5365,95,28.0,1,0,22,0,20,0,0,36,0,1,,utility
code:fastapi/routing.py:APIRoute:503,APIRoute,0.4382,0.5618,161,19.0,3,3,37,1,51,0,0,34,0,1,,utility
code:fastapi/routing.py:app:315,app,0.4357,0.5643,113,21.0,0,0,25,0,26,0,0,26,0,1,,utility
code:fastapi/routing.py:__init__:504,__init__,0.4323,0.5677,140,18.0,1,3,32,0,48,0,0,31,0,1,,utility
code:fastapi/applications.py:__init__:66,__init__,0.4138,0.5862,768,8.0,1,1,54,0,21,0,0,61,0,1,,utility
code:fastapi/openapi/utils.py:_get_openapi_operation_parameters:93,_get_openapi_operation_parameters,0.3978,0.6022,71,13.0,1,0,18,0,22,0,0,13,0,1,,utility
code:fastapi/param_functions.py:Security:2279,Security,0.3922,0.6078,66,1.0,1,1,3,0,0,0,928,5,0,1,,utility
code:fastapi/security/oauth2.py:OAuth2AuthorizationCodeBearer:502,OAuth2AuthorizationCodeBearer,0.3907,0.6093,100,5.0,1,8,14,1,4,0,0,11,0,1,,utility
code:fastapi/applications.py:setup:1076,setup,0.3905,0.6095,42,11.0,1,1,17,4,9,0,0,10,0,1,,utility
code:fastapi/utils.py:create_cloned_field:108,create_cloned_field,0.3879,0.6121,52,10.0,1,1,12,1,27,0,0,6,0,1,,utility
code:fastapi/security/oauth2.py:OAuth2PasswordBearer:390,OAuth2PasswordBearer,0.3875,0.6125,101,5.0,1,7,14,1,4,0,0,10,0,1,,utility
code:fastapi/security/http.py:HTTPBasic:96,HTTPBasic,0.3867,0.6133,102,9.0,1,1,13,1,11,0,0,7,0,1,,utility
code:fastapi/openapi/docs.py:get_swagger_ui_html:25,get_swagger_ui_html,0.3863,0.6137,120,5.0,1,0,16,0,7,0,519,17,0,1,,utility
code:fastapi/params.py:__init__:27,__init__,0.3827,0.6173,104,9.0,1,2,8,0,11,0,0,19,0,1,,utility
code:fastapi/params.py:__init__:479,__init__,0.382,0.618,109,9.0,1,2,8,0,13,0,0,21,0,1,,utility
code:fastapi/routing.py:add_api_route:956,add_api_route,0.3811,0.6189,80,8.0,1,3,12,0,9,0,0,17,0,1,,utility
code:fastapi/routing.py:__init__:697,__init__,0.3799,0.6201,213,6.0,1,1,25,0,9,0,0,12,0,1,,utility
code:fastapi/security/http.py:HTTPDigest:323,HTTPDigest,0.3798,0.6202,82,8.0,1,1,9,2,5,0,0,6,0,1,,utility
code:fastapi/routing.py:websocket:1121,websocket,0.3793,0.6207,55,1.0,2,3,4,1,0,0,527,2,0,1,,utility
code:fastapi/applications.py:exception_handler:4621,exception_handler,0.3789,0.6211,34,1.0,2,2,2,1,0,0,643,3,0,1,,utility
code:fastapi/applications.py:middleware:4575,middleware,0.3789,0.6211,35,1.0,2,2,2,1,0,0,630,2,0,1,,utility
