id,label,importance,triviality,loc,complexity,num_funcs,num_params,num_calls,num_returns,num_assigns,num_imports,doc_len,keyword_matches,one_liner,has_type_annotations,model_prob_core,combined_score
code:fastapi/routing.py:decorator:944,decorator,0.4808,0.5192,9,0.0,0,0,0,0,0,0,0,0,0,1,0.985,0.78332
code:fastapi/exceptions.py:__init__:109,__init__,0.4815,0.5185,24,0.0,0,0,0,0,0,0,0,1,0,1,0.98,0.7806
code:fastapi/openapi/models.py:BaseModelWithConfig:57,BaseModelWithConfig,0.4804,0.5196,5,0.0,0,0,0,0,0,0,0,0,0,1,0.965,0.77116
code:fastapi/routing.py:app:137,app,0.4864,0.5136,9,1.0,0,0,3,0,2,0,0,0,0,1,0.96,0.7705599999999999
code:fastapi/applications.py:on_event:4546,on_event,0.5079,0.4921,24,1.0,1,2,2,0,0,0,247,1,0,1,0.945,0.77016
code:fastapi/routing.py:merged_lifespan:204,merged_lifespan,0.4803,0.5197,10,0.0,0,0,0,0,0,0,0,1,0,1,0.96,0.7681199999999999
code:fastapi/params.py:__init__:777,__init__,0.4933,0.5067,9,1.0,1,2,2,0,0,0,0,1,0,1,0.95,0.76732
code:fastapi/applications.py:decorator:1222,decorator,0.4825,0.5175,28,0.0,0,0,0,0,0,0,0,0,0,1,0.95,0.7629999999999999
code:fastapi/routing.py:on_event:4482,on_event,0.5081,0.4919,27,1.0,2,2,3,1,0,0,242,1,0,1,0.93,0.76124
code:fastapi/routing.py:app:441,app,0.481,0.519,18,0.0,0,0,0,0,0,0,0,1,0,1,0.93,0.7504000000000001
code:fastapi/routing.py:decorator:1068,decorator,0.4826,0.5174,29,0.0,0,0,0,0,0,0,0,0,0,1,0.915,0.74204
code:fastapi/openapi/models.py:__get_pydantic_core_schema__:50,__get_pydantic_core_schema__,0.4804,0.5196,4,0.0,0,0,0,0,0,0,0,0,0,1,0.915,0.74116
code:fastapi/routing.py:app:140,app,0.4857,0.5143,5,1.0,0,0,1,0,1,0,0,0,0,1,0.905,0.73728
code:fastapi/params.py:__init__:764,__init__,0.4933,0.5067,5,1.0,1,2,0,0,1,0,0,0,0,1,0.865,0.7163200000000001
code:fastapi/openapi/models.py:ParameterInType:236,ParameterInType,0.4855,0.5145,4,1.0,0,0,0,0,3,0,0,0,0,1,0.865,0.7132000000000001
code:fastapi/openapi/models.py:OAuthFlows:392,OAuthFlows,0.4855,0.5145,4,1.0,0,0,0,0,0,0,0,0,0,1,0.865,0.7132000000000001
code:fastapi/openapi/models.py:SecuritySchemeType:336,SecuritySchemeType,0.4855,0.5145,4,1.0,0,0,0,0,3,0,0,0,0,1,0.865,0.7132000000000001
code:fastapi/routing.py:_merge_lifespan_context:201,_merge_lifespan_context,0.5142,0.4858,13,5.0,1,2,2,0,0,0,0,1,0,1,0.84,0.70968
code:fastapi/params.py:Security:776,Security,0.3433,0.6567,9,1.0,1,2,2,0,0,0,0,1,0,1,0.95,0.70732
code:fastapi/openapi/models.py:OpenIdConnect:404,OpenIdConnect,0.4856,0.5144,4,1.0,0,0,1,0,0,0,0,0,0,1,0.855,0.70724
code:fastapi/exception_handlers.py:websocket_request_validation_exception_handler:28,websocket_request_validation_exception_handler,0.3298,0.6702,5,0.0,0,0,0,0,0,0,0,1,0,1,0.955,0.70492
code:fastapi/openapi/models.py:MediaType:251,MediaType,0.485,0.515,4,1.0,0,0,1,0,0,0,0,1,0,1,0.84,0.698
