id,label,importance,triviality,loc,complexity,num_funcs,num_params,num_calls,num_returns,num_assigns,num_imports,doc_len,keyword_matches,one_liner,has_type_annotations
code:fastapi/routing.py:APIRouter:670,APIRouter,0.889,0.111,3374,39.0,22,1,311,17,32,0,527,277,0,1
code:fastapi/applications.py:FastAPI:50,FastAPI,0.827,0.173,3972,23.0,26,1,332,24,39,0,468,331,0,1
code:fastapi/routing.py:get_request_handler:292,get_request_handler,0.6462,0.3538,136,23.0,1,13,29,1,29,0,0,30,0,1
code:fastapi/routing.py:APIRoute:503,APIRoute,0.5882,0.4118,161,19.0,3,3,37,1,51,0,0,34,0,1
code:fastapi/routing.py:app:315,app,0.5857,0.4143,113,21.0,0,0,25,0,26,0,0,26,0,1
code:fastapi/routing.py:__init__:504,__init__,0.5823,0.4177,140,18.0,1,3,32,0,48,0,0,31,0,1
code:fastapi/applications.py:__init__:66,__init__,0.5638,0.4362,768,8.0,1,1,54,0,21,0,0,61,0,1
code:fastapi/applications.py:setup:1076,setup,0.5405,0.4595,42,11.0,1,1,17,4,9,0,0,10,0,1
code:fastapi/params.py:__init__:27,__init__,0.5327,0.4673,104,9.0,1,2,8,0,11,0,0,19,0,1
code:fastapi/params.py:__init__:479,__init__,0.532,0.468,109,9.0,1,2,8,0,13,0,0,21,0,1
code:fastapi/routing.py:add_api_route:956,add_api_route,0.5311,0.4689,80,8.0,1,3,12,0,9,0,0,17,0,1
code:fastapi/routing.py:__init__:697,__init__,0.5299,0.4701,213,6.0,1,1,25,0,9,0,0,12,0,1
code:fastapi/routing.py:websocket:1121,websocket,0.5293,0.4707,55,1.0,2,3,4,1,0,0,527,2,0,1
code:fastapi/applications.py:exception_handler:4621,exception_handler,0.5289,0.4711,34,1.0,2,2,2,1,0,0,643,3,0,1
code:fastapi/applications.py:middleware:4575,middleware,0.5289,0.4711,35,1.0,2,2,2,1,0,0,630,2,0,1
code:fastapi/applications.py:websocket:1268,websocket,0.5253,0.4747,55,1.0,2,3,4,1,0,0,452,2,0,1
code:fastapi/applications.py:openapi:1043,openapi,0.5207,0.4793,28,2.0,1,1,1,0,1,0,468,2,0,1
code:fastapi/routing.py:_prepare_response_content:153,_prepare_response_content,0.5186,0.4814,45,6.0,1,1,12,5,1,0,0,3,0,1
code:fastapi/routing.py:APIWebSocketRoute:463,APIWebSocketRoute,0.5179,0.4821,36,5.0,2,3,12,0,11,0,0,7,0,1
code:fastapi/routing.py:_merge_lifespan_context:201,_merge_lifespan_context,0.5142,0.4858,13,5.0,1,2,2,0,0,0,0,1,0,1
code:fastapi/routing.py:on_event:4482,on_event,0.5081,0.4919,27,1.0,2,2,3,1,0,0,242,1,0,1
code:fastapi/applications.py:on_event:4546,on_event,0.5079,0.4921,24,1.0,1,2,2,0,0,0,247,1,0,1
code:fastapi/routing.py:request_response:88,request_response,0.5078,0.4922,33,3.0,1,1,9,0,5,0,91,1,0,1
code:fastapi/applications.py:build_middleware_stack:995,build_middleware_stack,0.5072,0.4928,43,4.0,1,1,6,0,7,0,0,3,0,1
code:fastapi/routing.py:add_api_websocket_route:1100,add_api_websocket_route,0.5065,0.4935,18,2.0,1,4,3,0,2,0,0,2,0,1
code:fastapi/routing.py:route:937,route,0.5041,0.4959,16,1.0,2,5,1,1,0,0,0,3,0,1
code:fastapi/routing.py:get_websocket_app:436,get_websocket_app,0.5035,0.4965,23,2.0,1,3,6,0,2,0,0,2,0,1
code:fastapi/applications.py:openapi:1081,openapi,0.5004,0.4996,6,4.0,0,0,4,0,1,0,0,2,0,1
code:fastapi/routing.py:matches:496,matches,0.4986,0.5014,4,2.0,1,2,2,0,2,0,0,0,0,1
code:fastapi/routing.py:matches:663,matches,0.4986,0.5014,4,2.0,1,2,2,0,2,0,0,0,0,1
code:fastapi/security/open_id_connect_url.py:__init__:16,__init__,0.4969,0.5031,51,2.0,1,1,5,0,2,0,0,4,0,1
code:fastapi/security/http.py:__init__:129,__init__,0.4968,0.5032,50,2.0,1,1,5,0,3,0,0,4,0,1
code:fastapi/security/api_key.py:__init__:54,__init__,0.4967,0.5033,48,2.0,1,1,5,0,1,0,0,4,0,1
code:fastapi/security/oauth2.py:__init__:320,__init__,0.4966,0.5034,51,2.0,1,1,7,0,2,0,0,5,0,1
code:fastapi/middleware/asyncexitstack.py:__init__:8,__init__,0.4965,0.5035,5,1.0,1,3,0,0,1,0,0,1,0,1
code:fastapi/security/http.py:__init__:355,__init__,0.4964,0.5036,40,2.0,1,1,4,0,2,0,0,3,0,1
code:fastapi/security/api_key.py:__init__:146,__init__,0.4963,0.5037,44,2.0,1,1,5,0,1,0,0,4,0,1
